,0
0,Connecticut
1,Delaware
2,Indiana
3,Iowa
4,Maryland
5,Michigan
6,Minnesota
7,Mississippi
8,Missouri
9,Montana
10,Nebraska
11,New Mexico
12,Oklahoma
13,Rhode Island
14,Tennessee
15,Vermont
16,West Virginia
17,Wyoming
